artist_id,date,platform,total_streams,unique_listeners,peak_hour,avg_completion_rate
A0001,2024-12-21,spotify,221,126,17,0.89
A0001,2024-12-21,youtube,754,349,17,0.85
A0001,2024-12-21,instagram,319,152,22,0.74
A0001,2024-12-20,spotify,903,480,20,0.65
A0001,2024-12-20,youtube,239,100,20,0.55
A0001,2024-12-20,instagram,131,100,20,0.65
A0001,2024-12-19,spotify,322,160,19,0.83
A0001,2024-12-19,youtube,673,320,18,0.53
A0001,2024-12-19,instagram,328,204,21,0.54
A0001,2024-12-18,spotify,455,248,22,0.57
A0001,2024-12-18,youtube,301,188,19,0.75
A0001,2024-12-18,instagram,346,167,17,0.78
A0001,2024-12-17,spotify,730,494,22,0.82
A0001,2024-12-17,youtube,94,73,19,0.75
A0001,2024-12-17,instagram,424,259,21,0.7
A0001,2024-12-16,spotify,452,286,21,0.63
A0001,2024-12-16,youtube,405,215,19,0.6
A0001,2024-12-16,instagram,246,103,20,0.9
A0002,2025-01-14,spotify,632,315,17,0.82
A0002,2025-01-14,youtube,122,50,21,0.65
A0002,2025-01-14,instagram,424,313,22,0.68
A0002,2025-01-13,spotify,104,49,17,0.71
A0002,2025-01-13,youtube,740,445,22,0.51
A0002,2025-01-13,instagram,282,204,20,0.52
A0002,2025-01-12,spotify,235,180,20,0.77
A0002,2025-01-12,youtube,400,234,17,0.8
A0002,2025-01-12,instagram,345,250,20,0.89
A0002,2025-01-11,spotify,886,627,18,0.83
A0002,2025-01-11,youtube,333,195,22,0.72
A0002,2025-01-11,instagram,268,170,18,0.69
A0002,2025-01-10,spotify,969,510,18,0.51
A0002,2025-01-10,youtube,212,138,22,0.72
A0002,2025-01-10,instagram,306,213,20,0.55
A0002,2025-01-09,spotify,587,342,18,0.83
A0002,2025-01-09,youtube,784,319,19,0.58
A0002,2025-01-09,instagram,157,101,22,0.87
A0002,2025-01-08,spotify,221,171,19,0.52
A0002,2025-01-08,youtube,725,373,21,0.56
A0002,2025-01-08,instagram,331,196,17,0.65
A0002,2025-01-07,spotify,864,563,22,0.75
A0002,2025-01-07,youtube,100,42,17,0.64
A0002,2025-01-07,instagram,296,228,18,0.8
A0002,2025-01-06,spotify,581,387,19,0.62
A0002,2025-01-06,youtube,295,155,21,0.74
A0002,2025-01-06,instagram,473,323,20,0.75
A0002,2025-01-05,spotify,153,73,17,0.7
A0002,2025-01-05,youtube,744,340,19,0.57
A0002,2025-01-05,instagram,400,290,20,0.64
A0002,2025-01-04,spotify,747,584,18,0.84
A0002,2025-01-04,youtube,412,207,17,0.54
A0002,2025-01-04,instagram,400,251,20,0.68
A0002,2025-01-03,spotify,408,180,18,0.65
A0002,2025-01-03,youtube,633,281,22,0.87
A0002,2025-01-03,instagram,167,94,17,0.64
A0002,2025-01-02,spotify,454,294,20,0.83
A0002,2025-01-02,youtube,574,246,19,0.84
A0002,2025-01-02,instagram,324,225,22,0.81
A0002,2025-01-01,spotify,899,380,17,0.86
A0002,2025-01-01,youtube,276,181,20,0.7
A0002,2025-01-01,instagram,86,54,22,0.85
A0002,2024-12-31,spotify,421,317,19,0.75
A0002,2024-12-31,youtube,753,497,18,0.76
A0002,2024-12-31,instagram,379,253,22,0.72
A0002,2024-12-30,spotify,407,185,18,0.85
A0002,2024-12-30,youtube,542,321,18,0.73
A0002,2024-12-30,instagram,358,148,18,0.68
A0002,2024-12-29,spotify,315,151,22,0.67
A0002,2024-12-29,youtube,629,416,18,0.66
A0002,2024-12-29,instagram,118,71,17,0.61
A0002,2024-12-28,spotify,963,556,21,0.67
A0002,2024-12-28,youtube,276,124,17,0.54
A0002,2024-12-28,instagram,100,73,22,0.83
A0002,2024-12-27,spotify,174,92,20,0.84
A0002,2024-12-27,youtube,787,597,20,0.61
A0002,2024-12-27,instagram,329,180,20,0.65
A0002,2024-12-26,spotify,288,169,18,0.69
A0002,2024-12-26,youtube,644,374,19,0.61
A0002,2024-12-26,instagram,133,92,22,0.7
A0002,2024-12-25,spotify,989,500,22,0.72
A0002,2024-12-25,youtube,440,338,22,0.59
A0002,2024-12-25,instagram,285,179,20,0.52
A0002,2024-12-24,spotify,184,78,21,0.78
A0002,2024-12-24,youtube,488,360,19,0.66
A0002,2024-12-24,instagram,316,193,18,0.51
A0002,2024-12-23,spotify,925,470,18,0.85
A0002,2024-12-23,youtube,426,283,21,0.87
A0002,2024-12-23,instagram,255,144,19,0.61
A0002,2024-12-22,spotify,707,413,19,0.78
A0002,2024-12-22,youtube,780,313,18,0.89
A0002,2024-12-22,instagram,297,147,20,0.62
A0002,2024-12-21,spotify,979,594,19,0.6
A0002,2024-12-21,youtube,236,119,21,0.83
A0002,2024-12-21,instagram,362,275,19,0.69
A0002,2024-12-20,spotify,873,426,17,0.84
A0002,2024-12-20,youtube,796,546,21,0.77
A0002,2024-12-20,instagram,272,201,21,0.54
A0002,2024-12-19,spotify,855,395,19,0.9
A0002,2024-12-19,youtube,356,179,18,0.58
A0002,2024-12-19,instagram,446,263,18,0.72
A0002,2024-12-18,spotify,972,763,19,0.81
A0002,2024-12-18,youtube,691,475,19,0.88
A0002,2024-12-18,instagram,431,229,21,0.81
A0002,2024-12-17,spotify,344,246,19,0.81
A0002,2024-12-17,youtube,436,307,20,0.65
A0002,2024-12-17,instagram,394,180,20,0.76
A0002,2024-12-16,spotify,930,626,17,0.62
A0002,2024-12-16,youtube,150,112,18,0.66
A0002,2024-12-16,instagram,460,214,20,0.65
A0003,2025-01-14,spotify,149,73,22,0.83
A0003,2025-01-14,youtube,788,584,21,0.6
A0003,2025-01-14,instagram,364,176,19,0.55
A0003,2025-01-13,spotify,432,309,20,0.86
A0003,2025-01-13,youtube,156,79,17,0.61
A0003,2025-01-13,instagram,75,30,19,0.85
A0003,2025-01-12,spotify,377,220,18,0.85
A0003,2025-01-12,youtube,756,460,21,0.87
A0003,2025-01-12,instagram,68,43,21,0.66
A0003,2025-01-11,spotify,432,320,22,0.88
A0003,2025-01-11,youtube,626,276,18,0.71
A0003,2025-01-11,instagram,113,59,17,0.51
A0003,2025-01-10,spotify,279,180,19,0.64
A0003,2025-01-10,youtube,646,404,19,0.81
A0003,2025-01-10,instagram,470,355,17,0.77
A0003,2025-01-09,spotify,508,280,17,0.61
A0003,2025-01-09,youtube,166,119,22,0.58
A0003,2025-01-09,instagram,174,114,19,0.51
A0003,2025-01-08,spotify,790,468,20,0.6
A0003,2025-01-08,youtube,106,81,19,0.74
A0003,2025-01-08,instagram,92,60,18,0.55
A0003,2025-01-07,spotify,285,152,18,0.66
A0003,2025-01-07,youtube,131,80,18,0.59
A0003,2025-01-07,instagram,377,201,22,0.85
A0003,2025-01-06,spotify,437,223,21,0.56
A0003,2025-01-06,youtube,463,354,22,0.84
A0003,2025-01-06,instagram,456,192,17,0.56
A0003,2025-01-05,spotify,110,47,19,0.59
A0003,2025-01-05,youtube,764,427,18,0.88
A0003,2025-01-05,instagram,207,93,18,0.83
A0003,2025-01-04,spotify,847,596,20,0.52
A0003,2025-01-04,youtube,191,134,22,0.7
A0003,2025-01-04,instagram,499,334,22,0.73
A0003,2025-01-03,spotify,846,465,18,0.5
A0003,2025-01-03,youtube,760,458,19,0.58
A0003,2025-01-03,instagram,143,112,21,0.88
A0003,2025-01-02,spotify,233,129,17,0.51
A0003,2025-01-02,youtube,601,425,20,0.66
A0003,2025-01-02,instagram,286,172,19,0.75
A0003,2025-01-01,spotify,721,362,19,0.56
A0003,2025-01-01,youtube,639,495,22,0.85
A0003,2025-01-01,instagram,468,267,19,0.64
A0003,2024-12-31,spotify,542,319,17,0.79
A0003,2024-12-31,youtube,176,107,19,0.86
A0003,2024-12-31,instagram,231,103,17,0.87
A0003,2024-12-30,spotify,851,600,17,0.63
A0003,2024-12-30,youtube,113,68,20,0.83
A0003,2024-12-30,instagram,469,352,18,0.67
A0003,2024-12-29,spotify,714,481,21,0.81
A0003,2024-12-29,youtube,256,141,17,0.55
A0003,2024-12-29,instagram,383,178,19,0.64
A0003,2024-12-28,spotify,860,679,17,0.81
A0003,2024-12-28,youtube,209,129,18,0.84
A0003,2024-12-28,instagram,198,134,22,0.88
A0003,2024-12-27,spotify,702,518,19,0.75
A0003,2024-12-27,youtube,621,326,21,0.81
A0003,2024-12-27,instagram,152,101,22,0.77
A0003,2024-12-26,spotify,146,95,19,0.67
A0003,2024-12-26,youtube,551,259,18,0.61
A0003,2024-12-26,instagram,280,214,18,0.59
A0003,2024-12-25,spotify,630,501,22,0.81
A0003,2024-12-25,youtube,459,312,21,0.54
A0003,2024-12-25,instagram,500,239,20,0.69
A0003,2024-12-24,spotify,382,158,18,0.79
A0003,2024-12-24,youtube,622,322,21,0.69
A0003,2024-12-24,instagram,389,201,21,0.67
A0003,2024-12-23,spotify,961,467,20,0.62
A0003,2024-12-23,youtube,232,115,19,0.53
A0003,2024-12-23,instagram,381,261,21,0.53
A0003,2024-12-22,spotify,580,272,20,0.83
A0003,2024-12-22,youtube,280,174,21,0.62
A0003,2024-12-22,instagram,193,101,21,0.86
A0003,2024-12-21,spotify,702,536,19,0.68
A0003,2024-12-21,youtube,749,326,20,0.51
A0003,2024-12-21,instagram,448,297,17,0.58
A0003,2024-12-20,spotify,354,143,22,0.9
A0003,2024-12-20,youtube,290,168,22,0.78
A0003,2024-12-20,instagram,293,156,21,0.62
A0003,2024-12-19,spotify,526,305,18,0.67
A0003,2024-12-19,youtube,122,96,19,0.72
A0003,2024-12-19,instagram,100,54,20,0.89
A0003,2024-12-18,spotify,914,567,17,0.52
A0003,2024-12-18,youtube,559,390,22,0.9
A0003,2024-12-18,instagram,465,251,21,0.52
A0003,2024-12-17,spotify,811,422,22,0.75
A0003,2024-12-17,youtube,146,114,19,0.86
A0003,2024-12-17,instagram,156,69,21,0.57
A0003,2024-12-16,spotify,588,463,17,0.78
A0003,2024-12-16,youtube,394,285,19,0.64
A0003,2024-12-16,instagram,227,96,21,0.7
A0004,2025-01-14,spotify,379,164,19,0.7
A0004,2025-01-14,youtube,634,320,17,0.77
A0004,2025-01-14,instagram,486,335,18,0.77
A0004,2025-01-13,spotify,497,267,17,0.81
A0004,2025-01-13,youtube,162,75,21,0.86
A0004,2025-01-13,instagram,393,163,21,0.79
A0004,2025-01-12,spotify,875,487,21,0.75
A0004,2025-01-12,youtube,227,105,20,0.75
A0004,2025-01-12,instagram,208,164,17,0.81
A0004,2025-01-11,spotify,433,260,22,0.89
A0004,2025-01-11,youtube,590,343,19,0.58
A0004,2025-01-11,instagram,70,45,17,0.85
A0004,2025-01-10,spotify,361,249,21,0.89
A0004,2025-01-10,youtube,631,383,19,0.51
A0004,2025-01-10,instagram,314,166,18,0.71
A0004,2025-01-09,spotify,203,143,17,0.61
A0004,2025-01-09,youtube,532,306,17,0.79
A0004,2025-01-09,instagram,406,167,19,0.73
A0004,2025-01-08,spotify,119,84,19,0.84
A0004,2025-01-08,youtube,605,289,17,0.63
A0004,2025-01-08,instagram,375,235,20,0.68
A0004,2025-01-07,spotify,691,532,17,0.89
A0004,2025-01-07,youtube,372,197,19,0.83
A0004,2025-01-07,instagram,357,157,21,0.52
A0004,2025-01-06,spotify,155,74,20,0.84
A0004,2025-01-06,youtube,491,216,18,0.56
A0004,2025-01-06,instagram,485,271,22,0.69
A0004,2025-01-05,spotify,873,522,19,0.79
A0004,2025-01-05,youtube,596,275,20,0.65
A0004,2025-01-05,instagram,497,338,22,0.5
A0004,2025-01-04,spotify,980,467,20,0.81
A0004,2025-01-04,youtube,221,166,21,0.56
A0004,2025-01-04,instagram,149,89,19,0.57
A0004,2025-01-03,spotify,522,227,22,0.85
A0004,2025-01-03,youtube,620,378,18,0.78
A0004,2025-01-03,instagram,203,105,22,0.59
A0004,2025-01-02,spotify,193,127,18,0.58
A0004,2025-01-02,youtube,388,256,20,0.54
A0004,2025-01-02,instagram,105,80,22,0.53
A0004,2025-01-01,spotify,947,650,22,0.76
A0004,2025-01-01,youtube,256,179,22,0.83
A0004,2025-01-01,instagram,185,140,22,0.6
A0004,2024-12-31,spotify,394,197,19,0.82
A0004,2024-12-31,youtube,544,424,20,0.71
A0004,2024-12-31,instagram,261,158,17,0.53
A0004,2024-12-30,spotify,661,444,22,0.73
A0004,2024-12-30,youtube,118,82,21,0.86
A0004,2024-12-30,instagram,323,198,22,0.88
A0004,2024-12-29,spotify,553,356,18,0.54
A0004,2024-12-29,youtube,670,436,17,0.81
A0004,2024-12-29,instagram,84,51,17,0.67
A0004,2024-12-28,spotify,786,524,17,0.52
A0004,2024-12-28,youtube,248,112,19,0.75
A0004,2024-12-28,instagram,438,208,17,0.75
A0004,2024-12-27,spotify,503,352,20,0.59
A0004,2024-12-27,youtube,755,393,19,0.66
A0004,2024-12-27,instagram,314,126,20,0.75
A0004,2024-12-26,spotify,940,470,19,0.6
A0004,2024-12-26,youtube,704,406,22,0.68
A0004,2024-12-26,instagram,237,106,20,0.54
A0004,2024-12-25,spotify,669,506,22,0.74
A0004,2024-12-25,youtube,564,404,22,0.83
A0004,2024-12-25,instagram,436,274,17,0.53
A0004,2024-12-24,spotify,887,383,17,0.66
A0004,2024-12-24,youtube,148,69,19,0.86
A0004,2024-12-24,instagram,449,238,20,0.54
A0004,2024-12-23,spotify,728,354,21,0.79
A0004,2024-12-23,youtube,162,71,22,0.85
A0004,2024-12-23,instagram,431,298,18,0.7
A0004,2024-12-22,spotify,990,664,17,0.8
A0004,2024-12-22,youtube,562,254,21,0.73
A0004,2024-12-22,instagram,324,137,22,0.61
A0004,2024-12-21,spotify,374,289,20,0.77
A0004,2024-12-21,youtube,421,182,19,0.52
A0004,2024-12-21,instagram,202,112,20,0.64
A0004,2024-12-20,spotify,538,380,19,0.87
A0004,2024-12-20,youtube,636,473,19,0.73
A0004,2024-12-20,instagram,139,64,22,0.8
A0004,2024-12-19,spotify,690,543,18,0.82
A0004,2024-12-19,youtube,675,383,20,0.53
A0004,2024-12-19,instagram,243,184,18,0.8
A0004,2024-12-18,spotify,307,224,17,0.87
A0004,2024-12-18,youtube,765,462,22,0.63
A0004,2024-12-18,instagram,303,143,20,0.63
A0004,2024-12-17,spotify,429,193,21,0.64
A0004,2024-12-17,youtube,561,275,22,0.69
A0004,2024-12-17,instagram,113,66,20,0.77
A0004,2024-12-16,spotify,935,563,18,0.84
A0004,2024-12-16,youtube,421,331,18,0.86
A0004,2024-12-16,instagram,433,273,19,0.51
A0005,2025-01-14,spotify,302,159,20,0.68
A0005,2025-01-14,youtube,417,185,21,0.72
A0005,2025-01-14,instagram,162,90,20,0.53
A0005,2025-01-13,spotify,181,121,20,0.72
A0005,2025-01-13,youtube,245,194,20,0.84
A0005,2025-01-13,instagram,412,221,21,0.75
A0005,2025-01-12,spotify,357,274,17,0.67
A0005,2025-01-12,youtube,660,433,17,0.64
A0005,2025-01-12,instagram,79,37,19,0.88
A0005,2025-01-11,spotify,417,245,20,0.66
A0005,2025-01-11,youtube,730,449,17,0.89
A0005,2025-01-11,instagram,498,242,17,0.62
A0005,2025-01-10,spotify,717,384,18,0.84
A0005,2025-01-10,youtube,719,394,17,0.82
A0005,2025-01-10,instagram,125,90,22,0.84
A0005,2025-01-09,spotify,224,141,19,0.66
A0005,2025-01-09,youtube,523,351,17,0.9
A0005,2025-01-09,instagram,80,51,21,0.55
A0005,2025-01-08,spotify,220,97,21,0.74
A0005,2025-01-08,youtube,657,525,17,0.9
A0005,2025-01-08,instagram,407,312,20,0.67
A0005,2025-01-07,spotify,850,438,18,0.59
A0005,2025-01-07,youtube,535,234,20,0.64
A0005,2025-01-07,instagram,318,129,18,0.89
A0005,2025-01-06,spotify,579,250,18,0.9
A0005,2025-01-06,youtube,559,366,20,0.66
A0005,2025-01-06,instagram,176,119,20,0.82
A0005,2025-01-05,spotify,487,352,22,0.57
A0005,2025-01-05,youtube,312,245,18,0.83
A0005,2025-01-05,instagram,298,211,18,0.72
A0005,2025-01-04,spotify,331,230,22,0.86
A0005,2025-01-04,youtube,288,209,19,0.83
A0005,2025-01-04,instagram,401,277,21,0.6
A0005,2025-01-03,spotify,596,450,17,0.73
A0005,2025-01-03,youtube,600,388,20,0.69
A0005,2025-01-03,instagram,237,126,18,0.5
A0005,2025-01-02,spotify,434,319,21,0.57
A0005,2025-01-02,youtube,737,470,17,0.79
A0005,2025-01-02,instagram,88,44,19,0.62
A0005,2025-01-01,spotify,908,562,19,0.59
A0005,2025-01-01,youtube,451,328,20,0.5
A0005,2025-01-01,instagram,299,192,21,0.77
A0005,2024-12-31,spotify,611,363,22,0.81
A0005,2024-12-31,youtube,181,76,21,0.82
A0005,2024-12-31,instagram,382,213,17,0.73
A0005,2024-12-30,spotify,917,469,21,0.55
A0005,2024-12-30,youtube,528,380,22,0.7
A0005,2024-12-30,instagram,442,282,19,0.6
A0005,2024-12-29,spotify,993,548,22,0.72
A0005,2024-12-29,youtube,514,272,22,0.73
A0005,2024-12-29,instagram,398,232,20,0.63
A0005,2024-12-28,spotify,764,394,20,0.81
A0005,2024-12-28,youtube,503,304,18,0.63
A0005,2024-12-28,instagram,409,166,18,0.88
A0005,2024-12-27,spotify,458,239,17,0.85
A0005,2024-12-27,youtube,488,196,18,0.66
A0005,2024-12-27,instagram,176,84,18,0.83
A0005,2024-12-26,spotify,723,326,17,0.66
A0005,2024-12-26,youtube,451,354,21,0.75
A0005,2024-12-26,instagram,282,180,20,0.73
A0005,2024-12-25,spotify,418,232,21,0.66
A0005,2024-12-25,youtube,728,534,17,0.53
A0005,2024-12-25,instagram,108,63,17,0.59
A0005,2024-12-24,spotify,850,469,17,0.9
A0005,2024-12-24,youtube,345,196,17,0.82
A0005,2024-12-24,instagram,496,213,20,0.69
A0005,2024-12-23,spotify,674,492,22,0.52
A0005,2024-12-23,youtube,600,310,18,0.83
A0005,2024-12-23,instagram,392,282,21,0.61
A0005,2024-12-22,spotify,513,208,21,0.64
A0005,2024-12-22,youtube,82,37,17,0.78
A0005,2024-12-22,instagram,486,350,18,0.6
A0005,2024-12-21,spotify,278,142,20,0.58
A0005,2024-12-21,youtube,578,434,20,0.68
A0005,2024-12-21,instagram,371,235,18,0.67
A0005,2024-12-20,spotify,418,314,20,0.61
A0005,2024-12-20,youtube,103,79,17,0.5
A0005,2024-12-20,instagram,493,198,19,0.62
A0005,2024-12-19,spotify,955,497,18,0.59
A0005,2024-12-19,youtube,248,187,20,0.63
A0005,2024-12-19,instagram,239,188,22,0.58
A0005,2024-12-18,spotify,238,163,19,0.8
A0005,2024-12-18,youtube,768,403,20,0.52
A0005,2024-12-18,instagram,376,274,20,0.58
A0005,2024-12-17,spotify,104,64,18,0.7
A0005,2024-12-17,youtube,485,328,20,0.56
A0005,2024-12-17,instagram,59,37,17,0.86
A0005,2024-12-16,spotify,812,379,19,0.59
A0005,2024-12-16,youtube,729,565,20,0.9
A0005,2024-12-16,instagram,277,185,18,0.89
A0006,2025-01-14,spotify,484,300,20,0.81
A0006,2025-01-14,youtube,663,437,18,0.77
A0006,2025-01-14,instagram,250,193,17,0.66
A0006,2025-01-13,spotify,653,514,19,0.83
A0006,2025-01-13,youtube,386,287,17,0.57
A0006,2025-01-13,instagram,206,114,17,0.7
A0006,2025-01-12,spotify,377,161,21,0.83
A0006,2025-01-12,youtube,259,174,20,0.85
A0006,2025-01-12,instagram,194,113,19,0.68
A0006,2025-01-11,spotify,997,721,22,0.58
A0006,2025-01-11,youtube,686,472,22,0.86
A0006,2025-01-11,instagram,414,187,17,0.79
A0006,2025-01-10,spotify,735,482,17,0.55
A0006,2025-01-10,youtube,148,97,22,0.75
A0006,2025-01-10,instagram,261,153,21,0.67
A0006,2025-01-09,spotify,497,396,19,0.88
A0006,2025-01-09,youtube,239,135,20,0.55
A0006,2025-01-09,instagram,384,187,19,0.54
A0006,2025-01-08,spotify,561,328,20,0.88
A0006,2025-01-08,youtube,152,85,22,0.64
A0006,2025-01-08,instagram,327,252,22,0.55
A0006,2025-01-07,spotify,246,183,20,0.5
A0006,2025-01-07,youtube,511,267,17,0.53
A0006,2025-01-07,instagram,240,159,19,0.72
A0006,2025-01-06,spotify,672,424,18,0.7
A0006,2025-01-06,youtube,415,167,20,0.63
A0006,2025-01-06,instagram,262,176,22,0.51
A0006,2025-01-05,spotify,614,265,19,0.62
A0006,2025-01-05,youtube,577,333,19,0.79
A0006,2025-01-05,instagram,213,152,17,0.56
A0006,2025-01-04,spotify,103,54,22,0.82
A0006,2025-01-04,youtube,757,562,20,0.52
A0006,2025-01-04,instagram,316,161,20,0.82
A0006,2025-01-03,spotify,850,432,17,0.6
A0006,2025-01-03,youtube,607,316,17,0.52
A0006,2025-01-03,instagram,169,123,21,0.75
A0006,2025-01-02,spotify,706,465,17,0.71
A0006,2025-01-02,youtube,320,180,22,0.66
A0006,2025-01-02,instagram,207,125,20,0.85
A0006,2025-01-01,spotify,838,468,22,0.62
A0006,2025-01-01,youtube,129,93,19,0.69
A0006,2025-01-01,instagram,457,257,19,0.58
A0006,2024-12-31,spotify,288,215,17,0.58
A0006,2024-12-31,youtube,766,388,18,0.51
A0006,2024-12-31,instagram,225,136,22,0.5
A0006,2024-12-30,spotify,627,264,21,0.79
A0006,2024-12-30,youtube,159,69,17,0.71
A0006,2024-12-30,instagram,69,45,18,0.69
A0006,2024-12-29,spotify,441,337,20,0.73
A0006,2024-12-29,youtube,720,508,19,0.56
A0006,2024-12-29,instagram,381,174,18,0.53
A0006,2024-12-28,spotify,686,541,20,0.6
A0006,2024-12-28,youtube,367,191,21,0.55
A0006,2024-12-28,instagram,214,88,17,0.72
A0006,2024-12-27,spotify,366,235,22,0.71
A0006,2024-12-27,youtube,133,69,20,0.55
A0006,2024-12-27,instagram,482,278,18,0.65
A0006,2024-12-26,spotify,810,327,20,0.88
A0006,2024-12-26,youtube,741,431,22,0.6
A0006,2024-12-26,instagram,146,94,17,0.64
A0006,2024-12-25,spotify,554,260,21,0.62
A0006,2024-12-25,youtube,247,180,20,0.64
A0006,2024-12-25,instagram,274,215,21,0.7
A0006,2024-12-24,spotify,179,94,17,0.8
A0006,2024-12-24,youtube,631,382,18,0.56
A0006,2024-12-24,instagram,217,155,22,0.66
A0006,2024-12-23,spotify,858,481,22,0.8
A0006,2024-12-23,youtube,239,178,19,0.65
A0006,2024-12-23,instagram,307,174,21,0.83
A0006,2024-12-22,spotify,192,110,17,0.76
A0006,2024-12-22,youtube,518,214,21,0.81
A0006,2024-12-22,instagram,368,178,21,0.78
A0006,2024-12-21,spotify,830,351,19,0.88
A0006,2024-12-21,youtube,312,130,20,0.53
A0006,2024-12-21,instagram,363,273,18,0.64
A0006,2024-12-20,spotify,648,357,18,0.56
A0006,2024-12-20,youtube,620,307,18,0.68
A0006,2024-12-20,instagram,210,163,22,0.59
A0006,2024-12-19,spotify,763,547,19,0.86
A0006,2024-12-19,youtube,396,236,19,0.58
A0006,2024-12-19,instagram,284,224,20,0.65
A0006,2024-12-18,spotify,473,285,21,0.63
A0006,2024-12-18,youtube,180,111,21,0.8
A0006,2024-12-18,instagram,53,32,20,0.84
A0006,2024-12-17,spotify,287,224,22,0.7
A0006,2024-12-17,youtube,155,114,19,0.84
A0006,2024-12-17,instagram,94,60,20,0.6
A0006,2024-12-16,spotify,382,259,20,0.88
A0006,2024-12-16,youtube,779,314,18,0.63
A0006,2024-12-16,instagram,185,132,21,0.76
A0007,2025-01-14,spotify,306,214,20,0.83
A0007,2025-01-14,youtube,674,408,20,0.7
A0007,2025-01-14,instagram,52,22,22,0.84
A0007,2025-01-13,spotify,472,300,21,0.54
A0007,2025-01-13,youtube,798,421,17,0.55
A0007,2025-01-13,instagram,353,186,21,0.82
A0007,2025-01-12,spotify,584,445,20,0.56
A0007,2025-01-12,youtube,200,134,19,0.57
A0007,2025-01-12,instagram,485,359,20,0.64
A0007,2025-01-11,spotify,434,344,18,0.76
A0007,2025-01-11,youtube,296,184,22,0.56
A0007,2025-01-11,instagram,65,39,19,0.56
A0007,2025-01-10,spotify,649,487,19,0.57
A0007,2025-01-10,youtube,541,339,21,0.83
A0007,2025-01-10,instagram,297,154,18,0.61
A0007,2025-01-09,spotify,259,136,20,0.79
A0007,2025-01-09,youtube,180,115,20,0.66
